SMILES,LogP
C1=2C=CC=CC1=CC(Br)=CN=2,4.768
C1=NC=C(N=C1)Br,2.352
C1=NC=C(Br)C=N1,1.91
C=1(Br)NC(=C(Br)N=1)Br,3.225
C=1N=C(Br)N=CC=1,2.132
CC(C)(N(C)C(C)C)C#C,3.787
CC(C)(NC(=O)C=1C=C(C=C(Cl)C=1)Cl)C#C,4.629
CC(C)(O)C#C,1.889
C(C)(C#C)N(C(NC=1C=CC(Cl)=CC=1)=O)C,4.419
C1(=CC=C(OCC)C(=C1)OCC)NC(=O)OC(C)C#C,4.333
C(C(OC(N)=O)(C#C)C=C)C,2.543
C(C(C=CCl)(OC(N)=O)C#C)C,3.071
C(#C)C(CC)OC(NC1=CC=C(OCC)C(=C1)OCC)=O,4.599
C#CC(OC(=O)N)C=1C=CC=CC=1,3.016
C1=2C(CCC3C1C(CC4(C)C(C#C)(O)C(CC34)F)CC)=CC(=CC=2)O,6.06525
C1(OC)CC2(C)C(C#C)(O)C(CC2C3C1C=4C(CC3)=CC(=CC=4)O)F,5.178
O=S(=O)(C=1C(=CC=CC=1)C)N2C(NC(=O)C2(C3=CC=CC=C3)C4=CC=CC=C4)=O.C56C7C(C8=CC=C(C=C8CC7)O)C(OC)CC5(C(C#C)(C(C6)F)O)C,6.732
C1=2CC(=O)CCC1(C)C3CCC4(C(CCC4(C#C)O)C3CC=2)C,4.639
C1C=C2CC(=O)CCC2C3C(=C)CC4(C(C13)CCC4(O)C#C)CC,4.458
C12CCC(CC1=CCC3C4CCC(C4(C)CCC23)(C#C)O)=O,4.566
C1=2C(CCC3C1C(CC4(C(O)(C#C)CCC34)C)CC)=CC(=CC=2)O,5.411
C1(OC)CC2(C(O)(C#C)CCC2C3C1C=4C(CC3)=CC(=CC=4)O)C,5.13
C1CC2(C)C(C#C)(O)CCC2C3CCC4=CC(O)=CC=C4C13,5.3
C1CCCCC1(C#C)O,3.527
C12C(C)(C(CC1)(OC(C3=CN(C)C=CC3)=O)C#C)CCC4C2CC=C5CC(=O)CCC45C,6.032
C1=CN(C)C=C(C1)C(=O)OC2(C3(C)CCC4C5CCC(CC5=CCC4C3CC2)=O)C#C,5.463
C1=C(C=C(OCC)C(OCC)=C1)NC(=O)OC(CC#C)C,4.914
NC(CC#C)C(=O)O,-0.733
C(CC(CC#C)(O)C=1C=NC=CC=1)#C,2.784
OC(C1=CC=CN=C1)(CC#C)CC2=CC=CC=C2,2.991
C(C1=CC=C(C=C1)F)(C2=CC=CN=C2)(O)CC#C,3.306
C(C(O)(C=1C=CC=CC=1)C2=CC=CN=C2)C#C,2.915
C1CC(CCC1)C(CC#C)(C2=CC=CN=C2)O,3.648
ClC=1C(Cl)=CC(=CC=1)C(CC#C)(O)C2=CC=CN=C2,4.065
C=1C=CN=CC=1C(C2=CC=C(Cl)C=C2Cl)(O)CC#C,3.526
C=1N=CC(C(O)CC#C)=CC=1,2.323
CC(C)=CC1C(C1(C)C)C(OC2C(=C(CC#C)C(=O)C2)C)=O,4.976
C(C)CC#C,3.668
C(CCC#C)C,4.016
CCOC1=CC(=CC=C1OCC)NC(OCCC#C)=O,4.64
O(CCC#C)CN1C=CN=C1C=NO,2.004
C(C(C)N(C)CC#C)C1=CC=C(C=C1)F,4.332
C(C(C)N(C)CC#C)C1=CC=CC=C1,4.224
N(N=NC1=C(C(N)=O)NC=N1)(C)CC#C,1.823
C#CCN(CC#C)CC#C,3.075
CC1(C)C2(CCC1C(N(CC#C)C2=O)=O)C,3.348
C1=C2OCC(N(CC#C)C2=CC(N3C(=O)C4C(=C3O)C=CCC4)=C1F)=O,4.159
CC(C)=CC1C(C)(C)C1C(=O)OCN2C(N(CC2=O)CC#C)=O,4.314
N(CCCCC(NC(=O)C)C(NCC1=CC=CC=C1)=O)C(NCC#C)=O,2.03
CCOC1=CC(=CC=C1OCC)NC(=O)OCC#C,4.148
C1CCCN1C(OC2=C(Cl)C=C3OCC(OCC#C)=NC3=C2)=O,4.28
C(#C)COC=1C(=CC(NC=NOCC#C)=CC=1F)OCC#C,3.18
C=1C(Cl)=C(OCC#C)C(Cl)=CC=1N=CNOC(CC)C,5.585
N(OC)C=NC1=CC(Cl)=C(OCC#C)C(Cl)=C1,4.468
N#CCONC=NC1=CC(Cl)=C(OCC#C)C(Cl)=C1,4.681
C(=O)(CONC=NC1=CC(Cl)=C(OCC#C)C(Cl)=C1)OCC,5.166
C=1C(Cl)=C(OCC#C)C(Cl)=CC=1N=CNOCC,4.851
O(CC=C)NC=NC1=CC(Cl)=C(OCC#C)C(Cl)=C1,5.335
O(CC=CCl)NC=NC1=CC(Cl)=C(OCC#C)C(Cl)=C1,4.974
C=1C(Cl)=C(OCC#C)C(Cl)=CC=1N=CNOCCC,5.52
C=1C(Cl)=C(OCC#C)C(Cl)=CC=1N=CNOCCCl,4.483
O(NC=NC1=CC(Cl)=C(OCC#C)C(Cl)=C1)COC,4.817
O(COCC)NC=NC1=CC(Cl)=C(OCC#C)C(Cl)=C1,4.9830000000000005
C=1C(Cl)=C(OCC#C)C(Cl)=CC=1N=CNOCSC,5.035
C=1C(Cl)=C(OCC#C)C(Cl)=CC=1N=CNOCC2=CC=CC=C2,5.514
N(OC=1C=CC=CC=1)C=NC2=CC(Cl)=C(OCC#C)C(Cl)=C2,5.946
CC(C)(C)C1=NN(C2=C(Cl)C=C(C(OCC#C)=C2)Cl)C(=O)O1,5.404
C(#C)COC=1C(=CC(N=CNOC)=CC=1F)OCC#C,3.362
C(ONC=NC=1C=C(OCC#C)C(=C(Cl)C=1)OCC#C)C,3.92
C(#C)COC=1C(=CC(=CC=1F)N=CNOCC)OCC#C,3.682
ClC=1C=C(C=C(OCC#C)C=1OCC#C)N=CNOCC=C,4.13
C(OC)ONC=NC=1C=C(OCC#C)C(=C(Cl)C=1)OCC#C,3.752
C(#C)COC=1C(=CC(=CC=1F)N=CNOCOC)OCC#C,3.316
CCN(CC)C(=O)OC1=C(Cl)C=C(Cl)C(=C1)OCC#C,5.4
FC1(F)CN(C(OC=2C=C(OCC#C)C(Cl)=CC=2Cl)=O)CC1,4.83
C1CC(CCN1C(OC2=C(C=C(C(=C2)OCC#C)Cl)Cl)=O)(F)F,4.999
C1CCCN1C(OC2=C(C=C(C(=C2)OCC#C)Cl)Cl)=O,5.13
C1CCCCN1C(OC2=C(C=C(C(=C2)OCC#C)Cl)Cl)=O,5.977
CC1(C)CC(=O)C2=C(C1)OC3=C(C(CC(C)(C)C3)=O)C2C=4C=C(C(=CC=4)OCC#C)OCC,5.857
C1(N=CNOC)=CC=C(C(OCC#C)=C1)OCC#C,2.994
N(OCC)C=NC=1C=C(C(=CC=1)OCC#C)OCC#C,3.409
CC(C)(C)NCC(O)COC1=CC=CC=C1OCC#C,3.66
CN(C)C(NC=1C=CC(=CC=1)OC=2N=NN(N=2)CC#C)=O,3.16
CN(C)C(NC1=CC=C(C=C1)OC2=NN=NN2CC#C)=O,2.355
O=C1C=2C(C(=O)N1C=3C=C(C=C(C(=O)NC=4C=CC=C(C=4)C#C)C=3)C(NC=5C=C(C#C)C=CC=5)=O)=CC=CC=2,7.156
C=1C=CC=CC=1C#C,3.814
C=1C=CC(=CC=1)C#CC2=CC=CC=C2,5.142
C(#CC=1N=CSC=1)C2=CC=CC=C2,3.666
C(C1=CC=CC=C1)#CC=2SC=CN=2,4.997
C1CN(CCN1C(C2=CC=CC=C2)C3=CC=CC=C3)CC=CC=4C=CC=CC=4,6.737
C=1C=CC=C(C=1)C=CC2=CC=CC=C2,6.086
C=1C=CC=NC=1C=CC2=CC=CC=N2,3.433
C1CN(CCC1)N=CC=2C=CC=CC=2,4.525
C1=CC=C(C=NC=2C=CC=CC=2)C=C1,4.455
C1=NN=CN1N=CC=2C=CC(N3C(C4=CC=CC=C4)=CC(=N3)C5=CC=CC=C5)=CC=2,7.351
C1CC(C2=CC=CC=C2)=CCC1,5.687
N1CCC(C2=CC=CC=C2)=CC1,3.109
C1=CC2C=CC1C2,4.306
C1=CC=CC=CC=C1,4.451
C1=CC=CC=CC1,4.309
C1CC=CCCC=CCCC=C1,6.418
C1=CCCCC1,4.236
C1C=CCO1,3.693
C1CC=COC1,2.046
C=12C3=CC=C4C=1C(C=5C4=CC=CC=5)=CC=C2C=CC3,7.024
C12=CC=CC=3C1=C(C=C2)C=CC=3,5.448
C1=C2C=CCC2=CC=C1,4.493
C1=CC=2C(=CC=CN=2)C3=CC=CC=13,5.391
C12=CC=C3C=CC4=CC=C(C=C1)C4=C23,6.495
C=12CCC=C3C=1C=4C(C=C3)=CC=CC=4C=C2,6.346
C12C3C4C1C4CC23,4.537
C1C2CC3CC1CC(C2)C3,5.496
O1N=C2CCCC3=NOS1=C23,2.467
C12CCC(C3C1O3)C2,3.025
C1CC2CCC1C2,5.151
O1C2CCC(C3CO3)CC12,2.565
C1CCCCC1C2CO2,3.817
C1CN=C2N(CCCCC2)C1,2.691
C1CCCCC2C1O2,3.398
C1CCCC1,4.55
C1CCCCC1,4.905
C1CCCCCC1,5.47
C1CC2=NN=NN2CCC1,1.608
C1CN2CCC1CC2,3.233
C1CNCCN1,-0.086
C1COCCN1,0.463
C1COCCO1,1.827
C1COCCOCCOCCOCCO1,1.322
C1COCCOCCOCCOCCOCCO1,0.762
O1CCOC1,1.395
C1OC1C2CO2,0.716
C1OCOCO1,1.262
CC(C)C1(CC(=C)Br)C(=O)N(C(NC1=O)=O)C,3.383
N1C(=O)C(C(NC1=O)=O)(C(C)C)CC(Br)=C,3.267
C1(N(C)C(=O)NC(C1(C(C)CC)CC(Br)=C)=O)=O,3.851
O=C1NC(NC(=O)C1(C(CCC)C)CC(=C)Br)=O,3.564
C(C)(C(=O)O)=C,2.188
C(C)(=C)C(OC)=O,2.727
CC(C)(C)OC(C(=C)C)=O,3.854
CC(C)OC(C(=C)C)=O,3.957
C1(=O)OC2C3C(CC=4OC(=O)C(CC(OC(C(C)=C)=O)C2C1=C)C=4)(O3)C,2.294
C1CCCCC1OC(C(=C)C)=O,4.655
CC(C(OCC(C)(C)COC(=O)C(C)=C)=O)=C,4.338
O(CC(C)(COC=1C=2C=CC=CC=2C=CC=1)O)C(=O)C(=C)C,4.922
CC(C)COC(=O)C(C)=C,3.999
C(O)(COC(C(C)=C)=O)C,2.566
CC(C(OCC(COC(=O)C(C)=C)(COC(=O)C(C)=C)CC)=O)=C,6.25
C(C(CCCC)CC)OC(C(C)=C)=O,5.065
FC(F)(F)COC(=O)C(C)=C,2.888
C=1(C=CC=CC=1)OCC(O)COC(C(C)=C)=O,3.034333333333333
C(CCOC(C(C)=C)=O)C,4.454
O=C(C(C)=C)OCCCOC(=O)C(C)=C,3.993
C(C)(=C)C(=O)OCCO,1.873
CC(C(OCC1=CC=CC=C1)=O)=C,4.137
C(C)(C(N)=O)=C,-0.405
C1(=CCC(CC1O)C(=C)C)C,4.894
C1=C(CCC(C(C)=C)C1)C,6.289
C1=C(CCC(C(C)=C)C1)C=O,4.003
C1=C(CCC(C(C)=C)C1)CO,4.581
C1CC(CC(=O)C1C)C(=C)C,3.877
CC1C(CC(CC1)C(=C)C)O,4.764
C1CC(C(C)=C)CC2C1(C)O2,4.708
O1C2=C(CC1C(C)=C)C3=C(C(C4C5=CC(=C(OC)C=C5OCC4O3)OC)=O)C=C2,5.872
FC(F)(F)C=1C=C(C(N(CC)CC(=C)C)=C(C=1)[N+](=O)[O-])[N+](=O)[O-],6.242
CC(C)=CC1C(C)(C)C1C(=O)OCC(=C)C,6.202
O=S(=O)(N1CCOCC1)C2=CC(=CC=C2)C=3N(C4CCCC4)C(=NN=3)SCC(=C)C,6.244
C(=C)(OCC1=CC=CC=C1)C,3.934
O(C1=CC(CC=2C(NC(NC=2)=N)=N)=CC(OC)=C1C(C)=C)C,3.161
C1(=C(C)C=C(O)C(C(=C)C)=C1)O,2.87
C(C(=C)C=O)C,2.3819999999999997
C1(C2C(C3(C(C(C)C1)CCC3=O)C)OC(=O)C2=C)O,1.628
C1(=O)C(=C)C2C(O1)C3(O)C4(C(C(C3C(=C)CC2OC(C(=CC)C)=O)O)O4)C,3.387
C=1(C)C2(O)C(C(OC(C)=O)C=1)C(CCl)(O)CC(OC(C(=CC)C)=O)C3C(C(=O)OC23)=C,2.738
C=1(C)C2(O)C(C(OC(C)=O)C=1)C3(CC(OC(C(=CC)C)=O)C4C(C(=O)OC24)=C)CO3,1.916
CC(C)=CC(=O)OC1CC2C=C(OC2=O)CC3(OC3C4OC(C(=C)C14)=O)C,2.195
C1(=O)C(=C)C2CCC(C3(O)C(C)(C2O1)C(C=C3)=O)C,3.1346666666666665
C12(CCC(C1(C)C3C(CCC2C)C(C(=O)O3)=C)=O)O,2.14
C1(C2(C)C3C(CCC(C)C2=CC1)C(C(=O)O3)=C)=O,2.749
C(=O)(C)OC1CC(C(=CC(OC(=O)C(C)=CC)C2C(=C)C(OC2C=C1C)=O)C)O,2.747
C(C(=CC)C(OC1C2C(OC(=O)C2=C)C=C(C)C3(OC(C1)(C)C=C3)O)=O)OC(C)=O,2.998
C1C=C2C(C)(C1=O)C(C3C(OC(=O)C3=C)CC2C)OC(=O)CC(=O)OC4C5(C)C(CC=C5C(C)CC6C4C(=C)C(=O)O6)=O,1.947
C1C=C2C(C(C3C(OC(=O)C3=C)CC2C)OC(=O)CCCC(=O)OC4C5C(OC(=O)C5=C)CC(C)C6=CCC(=O)C46C)(C)C1=O,3.2125
C12(C(=CCC1=O)C(CC3OC(=O)C(=C)C3C2)C)C,2.37
C1=2CCC(=O)C1C(C)(C3C(OC(C34CC5CC(C4CC6C(OC(=O)C6=C)CC5C)=O)=O)CC=2C)O,3.355
C12(CC3C(CC1C(=C)CCC2)C(C(=O)O3)=C)C,4.778
C1CCC(C=2C1(CC3C(C(=C)C(O3)=O)C=2)C)C,4.675
C1(=O)C(=C)C2C(C3C(CC=4OC(=O)C(C=4)CC2O1)(O3)C)O,0.805
C12C=CCC(C)CCCC(CCC(=O)OC13C(C(C)C(C2O)=C)C(NC3=O)CC4=CC=CC=C4)=O,4.633
CC1(C)C(=C)C2CC1CC2,5.702
C=1C=C2C3(C(C(=C)C2=CC=1)CCCC3)NC,5.186
C=1C=C(SC=1C#CC=C)C=2SC=CC=2,4.994
C(C)(=C)C=C,3.87
CC(C)=CCCC(C=C)=C,6.51
CN(C)CCCNC(=O)C=C,0.98
C(C)N(CC)CCCNC(=O)C=C,1.737
C(CO)N(CCO)CCCNC(=O)C=C,0.294
C1COCCN1CCCNC(=O)C=C,0.341
C1CN(CCS1)CCCNC(=O)C=C,2.038
CN(C)CCNC(=O)C=C,1.29
C1CN(CCO1)CCNC(C=C)=O,0.511
C=CC(=O)O,1.122
C(C(=O)O)=C.C1(OC2NC(C2)=O)=C3C(C=CC=C3)=CC4=C1C=CC=C4,3.42
C=CC(OC)=O,2.309
C=CC(=O)OCC,3.114
CC(C)COC(C=C)=O,3.839
C(O)(COC(=O)C=C)C,2.118
C(CCOC(=O)C=C)C,4.09
C(COC(=O)C=C)O,1.517
O(CCOC)C(C=C)=O,1.983
O(CCOCCOC(C=C)=O)CCOC(C=C)=O,2.262
O(CCOCCOCCOCCOC(C=C)=O)C(C=C)=O,2.735
CC(C)=CCCC(OC(C)=O)(C)C=C,5.21
CC(C)=CCCC(C)(C=C)O,4.509333333333333
C(N)(OC(CC)C=C)=O,2.8600000000000003
O(C(=O)C)C(OC(=O)C)C=C,1.703
CC(C)(O)C1OC(CC1)(C=C)C,4.309
C1=C(N2C(=O)C(C)(C=C)OC2=O)C=C(C=C1Cl)Cl,4.859
C12C(CC(C3C1OC(C3=C)=O)O)(COC(C2=C)=O)C=C,1.533
C(C(=O)OC1C2C(=C)C(OC2C3C(C(OCC3(C=C)C1)=O)=C)=O)(=C)C,1.665
C=CC1CCC=CC1,5.492
O1C2CCC(CC12)C=C,3.479
C=CC1CN2C(CC1CC2)C(C=3C4=C(N=CC=3)C=CC(OC)=C4)O,4.715
C=12C(=CC=NC=1C=CC=C2)C(O)C3N4CCC(C(C=C)C4)C3,4.706
C(=CC)C=C,3.885
C(C=C)=CCC,4.001
CC1(C)C(CC(C)C(OC)=O)=C1C(OC2C(C)=C(CC=CC=C)C(=O)C2)=O,5.71
CC(C)=CC1C(C1(C)C)C(OC2CC(C(CC=CC=C)=C2C)=O)=O,7.496
C=CCC#N,1.131
O(C(NC1=CC=C(OCC)C(=C1)OCC)=O)C(CC=C)C,4.757
C(=C)CC(CC=C)(C(=O)OC)C(=O)NC(N)=O,3.635
C=CCC(CC=C)(NC(C)=O)C(N)=O,1.799
C(C1(C(OC(C)C1)=O)C(=O)NC(=O)N)C=C,1.535
CC(C)C1(C(NC(NC1=O)=O)=O)CC=C,2.622
C1(NC(NC(=O)C1(C(C)CC)CC=C)=O)=O,2.917
C1(NC(NC(=O)C1(CC=C)C(C)CCC)=O)=O,3.547
C1(NC(NC(=O)C1(CC=C)C(C)CCC)=S)=O,4.604
C1(NC(NC(=O)C1(C)CC=C)=O)=O,1.506
C(C1(C(N(C)C(=O)NC1=O)=O)CC(Br)=C)C=C,2.425
C1(NC(NC(=O)C1(CC(Br)=C)CC=C)=O)=O,3.434
CC(C)(C)CC1(C(NC(NC1=O)=O)=O)CC=C,3.37
C(C1(C(N(C)C(=O)NC1=O)=O)CC)C=C,2.835
N1C(=O)C(C(NC1=O)=O)(CC=C)CC,2.257
C=CCC1(CC=C)C(N(C(NC1=O)=O)C)=O,2.723
C1(=O)NC(NC(=O)C1(CC=C)CC=C)=O,3.012
C1(NC(NC(=O)C1(CCCC)CC=C)=O)=O,3.599
N1C(=O)C(C(NC1=O)=O)(C2=CC=CC=C2)CC=C,2.864
CC(C)=CC1C(C1(C)C)C(OC2CC(C(CC=C)=C2C)=O)=O,6.155
C(=O)(OC1(C(CC=C)CN(C)CC1)C2=CC=CC=C2)CC,4.264
C=CCC=C,3.932
C=CCCBr,3.915
C(=C)CCC=C,4.152
C(CCC=C)C,4.984
C(CC)CCC=C,5.356
C(CC)CCCC=C,6.046
C=CCCCCCCC,6.667
C(CCCC=C)CCCC,7.389
C(C(=O)O)CCCCCCCC=C,5.125
C(C1CO1)CCCCCCCC=C,5.584
O(CCCC=C)C(C(CC)N(CC=1OC=CC=1)C(N2C=NC=C2)=O)=O,4.632
CC(C)N(C(C)=O)CC=C,3.067
C=1(N=NN(C)CC=C)C(=CC=CC=1)C(N)=O,4.501
C=CCN(CC=C)C(COC(=O)CC=1C=C2C=CC(=CC2=CC=1)OC)=O,5.344
C(CN(CC=C)CC=C)=C,4.109
C(=C)CN(CC=C)C1=CC(N)=[N+]([O-])C(=N)N1,3.216
C1(OC)=C(C=C(NC(=O)C)C(N=NC2=C(C=C(C=C2[N+](=O)[O-])[N+]([O-])=O)Br)=C1)N(CCC#N)CC=C,6.8
N(C(N(N=O)CC=C)=O)(CCCC(NC(=O)C)C(NCC1=CC=CC=C1)=O)CCC,3.869
C(N(N=O)CC=C)(=O)NCCCC(NC(=O)C)C(NCC1=CC=CC=C1)=O,2.841
C(N(N=O)CC=C)(=O)NCCCCC(NC(=O)C)C(NCC1=CC=CC=C1)=O,3.33
C1=C(OC(C=C2C(N(C(=O)S2)CC=C)=O)=C1)[N+]([O-])=O,3.592
O=S1(=O)CC2C(C1)N(CC=C)C(=S)N2C3=CC=C(CC)C=C3,4.248
N1N=NC=2C=C(C(=CC1=2)OC)C(NCC3CN(CC3)CC=C)=O,3.1790000000000003
C1CCC2C3CC4=CC=C(C=C4C2(CCN3CC=C)C1)O,5.541
C12C34C=5C(=C(O)C=CC=5CC(N(CC3)CC=C)C4(CCC1=O)O)O2,3.568
N1N=NC=2C=C(C(=CC1=2)OC)C(NCC3N(CC=C)CCC3)=O,3.136
C1N(CC=C)C(N(CC1)CC=C)=S,3.075
C(CN1CCN(CC=C)C1=S)=C,3.438
C1N(CCC2=C(NC(S2)=N)C1)CC=C,2.177
C12=C(C=CC=C1CCN(CC2)CC=C)Cl,4.936
C=1N=CC=C(C2=CNC(=NCC=C)C(C#N)=C2)C=1,3.9243333333333332
C(N=C1NC(=NCC=C)N=C(Cl)N1)C=C,4.631
FC(F)C=1N=C(SCC(=O)NCC=C)C(C#N)=C(C=1)C=2C(=NN(C)C=2)C,5.473
N1=C(CCN2C(C)=C(Br)C(C)=N2)N(CC)C(SCC(NCC=C)=O)=N1,6.004
C(NC(C(NCC1=CC=CC=C1)=O)CCCCN(C(=O)NCC=C)CCC)(=O)C,2.469
C(CNC(NCC=C)=O)=C,1.682
N(CCCC(NC(=O)C)C(NCC1=CC=CC=C1)=O)C(NCC=C)=O,2.07
NNC(NCC=C)=O,-0.658
C=CCNCC,1.813
[N+]([O-])(C1=CC(=CC=C1NC(=O)C)CCCC)=O.C(CNCC)=C,4.214
C(C)CNCC=C,2.411
C1(=CC=C2C(=O)C(C3=CC=C(C=C3)Cl)=C(C)OC2=C1)OCC(=O)OCC=C,6.565
CCOC1=CC(=CC=C1OCC)NC(OCC=C)=O,4.962
O(CC=C)C(C=1C(=CC=CC=1)C(OCC=C)=O)=O,4.308
C(CN1C=CN=C1)(OCC=C)C2=CC=C(Cl)C=C2Cl,5.285
C1(=CC=CC=C1)C2(CN(CCO2)C)OCC=C,3.654
O=S1(=O)C=2C(C(OCC=C)=N1)=CC=CC=2,2.857
O(CC(O)CN1C=CN=C1[N+]([O-])=O)CC=C,1.997
C(COCC=C)O,1.747
CC1(C)CC(O[Na])=C(C(=O)C1C(OC)=O)C(CCC)=NOCC=C,1.382
C1=C(C=C(C(C(=O)O)=C1)OCC=C)N,2.904
C=1(C(=CC(NC(=O)C)=C(F)C=1)OCC=C)Cl,2.7243333333333335
[O-]N1C=2C(=CC=C(C=2)OCC=C)[N+](=O)C(=N)N1,2.151
C=12C(N(C3=NN=C(C)S3)C(C=1OC4=CC=CC=C4C2=O)=O)C=5C=CC=C(OCC=C)C=5,6.35
C=1(C=CC=CC=1)OCC=C,4.862
C=C(N1C=CN=C1)C2=CC=CC=C2OCC=C,3.327666666666667
N1C(=N)NC(C(CC2=CC=CC=C2OCC=C)=C1)=N,3.699
CC(C)NCC(OC(C(C)C)=O)COC=1C(OCC=C)=CC=CC=1,5.073
C1CC1C(=O)OC(CNC(C)C)COC=2C(=CC=CC=2)OCC=C,4.722
CC(C)NCC(OC(=O)C=CC)COC=1C(=CC=CC=1)OCC=C,5.157
CC(C)NCC(OC(=O)CCC)COC=1C(=CC=CC=1)OCC=C,5.625
CC(C)NCC(COC=1C(OCC=C)=CC=CC=1)OC(=O)CCCC,5.443
CC(C)NCC(O)COC1=CC=CC=C1OCC=C,3.647
N1=C(OCC=C)C2=C(CCNC2)O1,2.157
C1(C(Br)=C(NC(=O)N1OCC=C)C)=O,1.926
O=S(=O)(CC=C)C=1C=C(OC)C(OC)=C(OC)C=1,2.399
O=S(=O)(C=1C=C2S(=O)(=O)NC(NC2=CC=1Cl)CSCC=C)N,2.614
C=1C=CC=CC=1SCC=C,5.318
N1C(=N)NC=C(CC=2C=C(OCC)C(=C(OCC)C=2)CC=C)C1=N,4.508
C1(=CC=C(C=C1OC)CC=C)O,3.504
C=1(C(=O)C=2C=CC=C(C=2OC=1C3=CC=CC=C3)CC=C)C,6.261
C=1C=CC=CC=1CC=C,4.688
CC(C)NCC(O)COC=1C(=CC=CC=1)CC=C,3.73
C(CN1C(SC2=CC=CC(OC)=C12)=NC(=O)C3=CC(=C(C(=C3)OC)OC)OC)=C,6.546
CN(C)C1=C(N(C(=O)N(CC=C)C1=O)C=2C=CC=CC=2)C,3.429
C1CC2(CCC1)OC(=O)C(C(=O)O2)=CC=3C=4C(=CC=CC=4)N(CC=C)C=3C,4.157
CC1(C)CC2(CN(C(C2)C1)C(=O)CSC=3N(CC=C)C(C=4C=C(CC)SC=4N=3)=O)C,7.535
C1=C(C(F)=CC(NC(CSC=2N(C(=NN=2)C=3SC=CC=3)CC=C)=O)=C1)C,5.443
C=1C=CC=C(CSC=2N(C(=O)C3=CC=CC=C3N=2)CC=C)C=1,6.56
C=1N(N=CC=1)CC=C,1.463
N1C=2N(CC=C)C=NC=2C(N(C)C1=O)=N,1.712
C1=NC=2C(NC(=NC3=CC=CC=C3)NC=2N1CC=C)=O,2.786
O=[N+]([O-])C=1N(CC=C)C=NC=1,2.261
CN(C)C(NC=1C=CC(=CC=1)OC2=NN(N=N2)CC=C)=O,3.719
C1CCN(C=C)C1=O,1.94
FC(F)(F)C1=CC=C(C(=C1)Cl)OC2=CC=C(C(=C2)OC(C)C(=O)OC=C)[N+](=O)[O-],6.044
CC(OC=C)=O,2.112
C=COCC,2.293
N1C2=C(N(C=N2)CCOC=C)C(N(C)C1=O)=N,0.544
N1C=2N(C=NC=2C(N(C)C1=O)=N)CCOC=C,1.274
C1CN1C2=C(O)C(=C(C(O)=C2C=C)N3CC3)C,2.701
C=1(C=C(C=C)C(=CC=1)C)C,5.839
O=C(O)C1=CC=C(C=C)C=C1,3.435
C(=C)C1=CC=C(C=C1)CC,6.056
C1=C(OC(=C1)C=C)[N+]([O-])=O,3.098
C12=CC(=CC=C1C(O)=C3C=CC=CC3=C2O)C=C,6.497333333333334
C(=C)C1=CC=CC(CC)=C1,5.463
C(=C)C=1C=CC=CC=1,4.556
C1(=CC=CC=N1)C=C,2.984
O=[N+](C1=NC=C(C=C)N1C)[O-],1.845
